Transient Name,Epoch,Peak Flux,RMS Flux,Delta T
ZTF18aaroihe,VLASS2.1,0.285,0.142,867.82
ZTF18aaroihe,VLASS3.1,0.27,0.112,1730.82
ZTF18aartimj,VLASS1.2v2,0.246,0.123,313.68
ZTF18aartimj,VLASS2.2,0.368,0.145,1262.68
ZTF18aartjmf,VLASS1.2v2,0.625,0.168,227.83
ZTF18aartjmf,VLASS2.2,0.369,0.127,1223.83
ZTF18aarunub,VLASS1.1v2,0.272,0.113,-721.1
ZTF18aarunub,VLASS2.1,0.458,0.166,336.9
ZTF18aarunub,VLASS3.1,0.251,0.109,1238.9
ZTF18aarwxum,VLASS1.1v2,0.322,0.121,-683.26
ZTF18aarwxum,VLASS2.1,0.266,0.13,371.74
ZTF18aarwxum,VLASS3.1,0.297,0.113,1292.74
ZTF18aarxzmv,VLASS1.1v2,0.288,0.105,-173.27
ZTF18aarxzmv,VLASS2.1,0.262,0.12,841.73
ZTF18aarxzmv,VLASS3.1,0.28,0.104,1763.73
ZTF18aasdted,VLASS1.1v2,0.274,0.1,-256.32
ZTF18aasdted,VLASS2.1,0.369,0.143,798.68
ZTF18aasdted,VLASS3.1,0.207,0.108,1719.68
